Name,LOCC,NOM,NOA,AMW,FANOUT,ATFD,FDP,CBO,CC,CM,NOAM,NOPA,DIT,Brain Class
Convert,2288,62,17,9.13,10,0,0,3,0,0,0,0,0,true
Pack,1840,32,11,7.16,22,2,2,7,0,0,0,0,0,true
Term,1633,28,97,9.86,55,12,3,13,1,1,0,20,0,true
EmitterImpl,1376,24,30,10.25,40,18,2,10,1,19,1,0,0,true
RubyArray,2414,155,27,3.28,77,16,7,26,55,133,3,0,1,true
TestRegexpTranslator,37,5,1,1,2,0,0,1,0,0,0,0,2,false
TrueNode,28,4,1,1,2,0,0,2,1,1,1,0,1,false
KeyIterator,5,2,0,0.50,0,0,0,0,0,0,0,0,1,false
CallBlock,86,6,5,2,15,7,3,6,0,0,0,0,1,false
Substitution,5,1,0,0,0,0,0,0,1,1,0,0,0,false
