Name,scope name,LOC,CYCLO,MAXNESTING,NOP,NOAV,NOLV,FANOUT,FANIN,ATFD,FDP,CINT,CC,CM,LAA,Brain Method
getCompiler,NodeCompilerFactory,172,60,3,1,59,0,57,53,1,1,0,32,53,0,true
iseq_compile_each,StandardYARVCompiler,237,45,4,3,82,35,62,3,30,21,32,0,0,0.12,true
get_proxy_class,Java,71,14,6,2,18,12,35,5,4,2,16,1,3,0,true
matching_method,Java,70,18,5,3,20,16,22,0,3,3,10,0,0,0,true
matching_method_internal,Java,92,24,4,5,29,22,20,3,3,3,10,2,3,0,true
initializeClass,JavaClass,104,22,4,1,37,24,36,1,6,1,1,0,0,0.45,true
newProxyClass,JavaProxyClassFactory,62,12,3,5,17,9,18,2,0,0,0,1,1,1,true
prepareOptOrRestArgs,DefaultMethod,67,15,3,6,19,10,15,1,0,0,9,0,0,1,true
getMethod,DumpingInvocationMethodFactory,64,15,5,7,36,14,24,2,1,1,4,0,0,0,true
internalCall,FullFunctionReflectedMethod,68,8,7,7,17,7,17,0,3,2,6,0,0,0.67,true
getMethod,InvocationMethodFactory,64,15,5,7,36,14,24,2,1,1,4,0,0,0,true
call,SimpleReflectedMethod,61,8,7,7,15,7,16,0,3,2,6,0,0,0.62,true
exec,YARVMachine,578,158,6,4,197,41,66,3,23,4,53,2,2,0,true
transformIntoSequence,YARVCompiledRunner,62,8,3,1,36,14,22,2,20,2,2,0,0,0.26,true
processArgument,CommandlineParser,107,27,8,0,30,5,13,1,0,0,1,0,0,1,true
byteArrayToLong,Convert,221,80,7,5,37,27,5,3,0,0,0,0,0,1,true
byteArrayToBigInteger,Convert,215,76,7,5,34,25,6,3,0,0,0,0,0,1,true
byteArrayToDouble,Convert,830,233,7,4,49,37,5,2,0,0,0,0,0,1,true
fnmatch,Dir,90,61,6,7,20,8,6,3,0,0,0,1,1,1,true
pack,Pack,359,74,5,3,53,46,42,1,5,1,11,1,1,0,true
findClassesInPackage,PackageSearch,63,16,8,2,15,13,26,1,0,0,0,0,0,1,true
rubySprintf,Sprintf,924,227,4,2,91,59,49,6,8,5,26,0,0,0,true
makeTree,Term,139,35,7,7,44,12,29,2,0,0,2,0,0,1,true
append,Term,157,37,6,7,24,10,19,1,0,0,0,0,0,1,true
parseTerm,Term,207,59,7,5,34,9,9,1,0,0,0,0,0,1,true
toString,Term,318,72,3,0,70,1,9,1,1,1,0,0,0,0.99,true
parseClass,CharacterClass,262,67,5,8,33,19,22,3,1,1,10,0,0,0,true
search,Matcher,1017,195,8,1,210,101,12,6,304,5,0,0,0,0.06,true
next,Pretokenizer,178,39,7,0,39,17,5,1,0,0,0,1,1,1,true
load,RbConfigLibrary,74,5,3,1,12,9,22,0,0,0,5,0,0,1,true
composeNode,ComposerImpl,65,21,5,2,20,14,27,2,16,4,0,0,0,0.53,true
constructYamlTimestamp,SafeConstructorImpl,85,21,4,2,31,19,16,4,1,1,1,0,2,0,true
writeDoubleQuoted,EmitterImpl,59,21,6,2,16,5,14,1,16,2,4,1,1,0.36,true
writeSingleQuoted,EmitterImpl,61,24,6,2,17,9,8,1,11,2,3,1,1,0.39,true
writeFolded,EmitterImpl,62,25,5,1,18,11,9,1,7,2,3,1,1,0.36,true
writePlain,EmitterImpl,65,23,6,2,20,9,7,1,22,2,1,1,1,0.33,true
analyzeScalar,EmitterImpl,182,68,8,1,31,25,6,3,1,1,2,1,3,0,true
recognize,ResolverScanner,141,27,8,1,29,21,0,2,2,1,0,1,1,0,true
scanBlockScalar,ScannerImpl,64,17,4,1,26,13,17,1,1,1,4,0,0,0.83,true
evalInternal,EvaluationState,231,99,4,5,105,7,100,55,9,6,11,0,0,0,true
caseNode,EvaluationState,74,21,6,5,18,12,18,1,16,7,15,0,0,0,true
rescueNode,EvaluationState,66,9,8,5,16,10,15,1,15,6,13,0,0,0,true
getDefinitionInner,EvaluationState,160,55,6,5,58,25,42,3,33,18,39,0,0,0,true
printError,Ruby,62,16,3,1,10,8,24,5,3,3,12,3,5,0,true
expand_path,RubyFile,64,13,4,2,12,11,21,0,2,1,7,0,0,0,true
callMethod,RubyArray,65,37,3,7,30,0,26,0,20,4,4,0,0,0,true
splice,RubyArray,62,16,3,3,12,5,9,5,1,1,2,0,0,0.95,true
fill,RubyArray,68,21,4,2,17,12,13,0,1,1,6,0,0,0,true
includeModule,RubyModule,72,13,5,1,10,9,23,27,1,1,5,21,23,0.90,true
callMethod,RubyString,67,40,3,7,31,0,24,0,21,4,3,0,0,0,true
gsub,RubyString,67,16,3,3,18,13,30,2,3,1,14,0,0,0.73,true
aset,RubyString,68,21,3,1,12,10,18,2,1,1,6,0,0,0.86,true
split,RubyString,168,28,6,1,32,25,43,1,4,2,15,1,1,0.20,true
reopen,RubyIO,84,10,4,1,12,13,26,0,6,2,16,0,0,0.67,true
select_static,RubyIO,105,25,4,2,27,20,42,2,0,0,0,1,1,1,true
step,RubyNumeric,75,19,4,2,25,17,18,0,1,1,5,0,0,0.50,true
isSymbolName,RubySymbol,63,44,3,1,8,7,8,1,0,0,0,0,0,1,true
to_s,RubyBigDecimal,116,34,5,1,31,27,24,0,0,0,1,0,0,1,true
inspect,RubyRegexp,59,20,11,0,14,5,12,0,0,0,1,0,0,1,true
execute,ReflectionCallback,73,13,7,3,20,9,17,1,2,1,5,1,1,0.83,true
smartLoad,LoadService,108,19,3,1,22,12,29,1,1,1,0,0,0,0.95,true
findFile,LoadService,61,11,5,1,14,12,22,1,2,1,5,0,0,0.83,true
writeObjectData,MarshalStream,87,20,4,1,20,2,27,1,5,3,12,0,0,0,true
convertToHash,RubyUndef,3,1,0,0,0,0,0,0,0,0,0,0,0,1,false
isMethodBound,RubyModule,7,3,1,2,3,1,4,4,1,1,3,1,1,0,false
toString,TestBean2,3,1,0,0,2,0,0,0,0,0,0,0,0,1,false
taint,RubyObject,8,2,1,0,0,0,5,1,0,0,1,0,0,1,false
childNodes,CallNode,3,1,0,0,3,0,1,0,0,0,0,0,0,1,false
inspect,RubySymbol,4,2,1,0,1,0,5,0,0,0,2,0,0,1,false
RubyNativeThread,RubyNativeThread,11,1,0,3,9,1,8,2,3,3,7,2,2,0.62,false
to_s,RubyRegexp,3,1,0,0,0,0,3,1,0,0,1,0,0,1,false
keys,RubyThread,5,1,0,0,2,1,5,0,0,0,0,0,0,1,false
initialize_copy,RubyStruct,9,2,1,1,4,1,1,0,0,0,0,0,0,1,false
accept,YieldNode,3,1,0,1,1,0,1,1,0,0,1,1,1,1,false
setValue,Node,3,1,0,1,2,0,0,2,0,0,0,1,1,1,false
destroy,ScriptThreadProcess,4,1,0,0,1,0,2,0,0,0,0,0,0,1,false
evStrNode,EvaluationState,3,1,0,5,5,0,3,1,1,1,2,0,0,0,false
hasModuleInHierarchy,RubyModule,11,3,2,1,2,1,2,1,0,0,0,0,0,1,false
newHash,RubyHash,5,1,0,3,3,0,1,1,0,0,0,1,1,1,false
hasDefaultProc,RubyHash,3,1,0,0,1,0,0,1,0,0,0,1,1,1,false
Ustr,Ustr,16,2,2,2,8,3,3,0,0,0,0,0,0,1,false
setIterNode,FCallNode,3,1,0,1,2,0,0,0,0,0,0,0,0,1,false
MainExitException,MainExitException,6,1,0,2,4,0,0,1,0,0,0,1,1,1,false
setUsageError,MainExitException,3,1,0,1,2,0,0,1,0,0,0,1,1,1,false
constructScalar,BaseConstructorImpl,15,5,4,1,4,3,12,3,3,1,2,0,0,0,false
getModule,Ruby,3,1,0,1,2,0,1,89,0,0,1,46,76,1,false
SplatNodeCompiler,SplatNodeCompiler,2,1,0,0,0,0,0,1,0,0,0,1,1,1,false
clear,SizedQueue,5,1,0,0,0,0,4,0,1,1,1,0,0,0,false
accept,NewlineNode,3,1,0,1,1,0,1,1,0,0,1,1,1,1,false
elements,AnyFile,11,3,1,1,1,0,3,0,0,0,0,0,0,1,false
each,RubyRange,48,14,6,1,11,4,13,0,1,1,6,0,0,0.95,false
RubyString,RubyString,7,1,0,3,4,0,0,7,0,0,0,0,0,1,false
allocate,RubyClass,3,1,0,0,0,0,3,16,0,0,1,12,15,1,false
expectFlowSequenceItem,EmitterEnvironment,19,5,2,0,11,0,8,1,0,0,2,0,1,1,false
runAndWait,ShellLauncher,3,1,0,1,2,0,2,2,0,0,1,2,2,1,false
getClassFromPath,Ruby,10,4,1,1,2,1,4,6,0,0,0,3,6,1,false
newBignum,RubyBignum,3,1,0,2,2,0,1,9,0,0,0,3,3,1,false
useFlow,DefaultYAMLConfig,1,1,0,1,2,0,0,0,0,0,0,0,0,1,false
bytesToString,RubyString,3,1,0,1,2,0,1,1,0,0,0,1,1,1,false
useVersion,DefaultYAMLConfig,1,1,0,1,2,0,0,0,0,0,0,0,0,1,false
zero,RubyFixnum,3,1,0,1,1,0,1,40,0,0,0,17,27,1,false
childNodes,SClassNode,3,1,0,0,2,0,1,0,0,0,0,0,0,1,false
define_exception_handler,Java,12,2,1,3,6,2,5,0,1,1,4,0,0,0,false
accept,ArgsCatNode,3,1,0,1,1,0,1,1,0,0,1,1,1,1,false
createJavaMethodClass,JavaMethod,22,1,0,2,5,2,7,1,1,1,6,1,1,0,false
MockJavaSupport,MockJavaSupport,3,1,0,1,1,0,0,0,0,0,0,0,0,1,false
compile,AndNodeCompiler,15,1,0,2,4,2,7,0,2,2,4,0,0,0,false
create,KCode,25,6,1,2,7,0,3,7,2,1,2,4,7,0,false
casefold,RubyRegexp,4,1,0,0,2,0,3,0,0,0,1,0,0,1,false
assignable,JavaClass,27,10,2,2,3,0,5,3,0,0,0,1,2,1,false
userNewUnmarshal,UnmarshalStream,9,1,0,0,6,4,8,1,0,0,5,0,0,1,false
rewind,IOHandlerSeekable,3,1,0,0,1,0,1,1,0,0,0,0,0,1,false
set_lineno,RubyStringIO,4,1,0,1,2,0,3,0,2,2,2,0,0,0.33,false
tryClass,InvocationMethodFactory,11,2,2,2,3,1,3,2,0,0,1,0,0,1,false
scalar,RepresenterImpl,3,1,0,3,3,0,1,1,0,0,0,0,0,1,false
internalCall,UndefinedMethod,3,1,0,7,0,0,1,1,0,0,0,0,0,1,false
print,ReWriteVisitor,3,1,0,1,2,0,2,1,1,1,1,0,0,0.50,false
StaticFieldSetter,StaticFieldSetter,1,1,0,0,0,0,0,0,0,0,0,0,0,1,false
conv,RubyIconv,3,1,0,3,2,0,4,0,0,0,2,0,0,1,false
resetByModes,IOHandlerUnseekable,2,1,0,1,0,0,0,0,0,0,0,0,0,1,false
visitClassVarDeclNode,DefaultIteratorVisitor,4,1,0,1,2,0,1,0,0,0,1,0,0,1,false
cat,RubyString,5,1,0,1,2,0,2,1,0,0,1,0,0,1,false
RaiseException,RaiseException,4,1,0,2,3,0,1,2,0,0,0,1,2,1,false
preMethod,UndefinedMethod,3,1,0,7,0,0,0,0,0,0,0,0,0,1,false
accept,LocalVarNode,3,1,0,1,1,0,1,1,0,0,1,1,1,1,false
getOutputStream,ScriptThreadProcess,3,1,0,0,1,0,0,0,0,0,0,0,0,1,false
