Name,LOCC,NOM,NOA,AMW,FANOUT,ATFD,FDP,CBO,CC,CM,NOAM,NOPA,DIT,Data Class
Keyword,136,4,10,2.75,1,0,0,1,0,0,0,4,0,true
Label,7,1,5,0,0,0,0,0,0,0,0,5,1,true
EnsureRange,5,0,3,0,0,0,0,0,0,0,0,3,0,true
ProxyData,8,1,5,1,0,0,0,0,0,0,0,5,0,true
NamedCallback,45,7,8,1.71,3,1,1,2,1,1,0,4,0,true
MethodCallback,67,7,6,2.14,10,10,6,6,1,2,0,6,1,true
ScalarEvent,34,6,4,1,1,0,0,1,2,6,4,0,2,true
DocumentStartEvent,23,4,3,1,0,0,0,0,1,1,3,0,1,true
CollectionStartEvent,24,4,3,1,0,0,0,0,2,4,3,0,2,true
ScalarToken,31,6,3,1,1,0,0,1,0,1,3,0,1,true
DAsgnNode,68,8,3,1,2,0,0,2,5,5,4,0,2,true
DVarNode,72,8,3,1,2,0,0,2,4,4,4,0,1,true
LocalAsgnNode,71,8,3,1,2,0,0,2,7,8,4,0,2,true
LocalVarNode,65,7,3,1,2,0,0,2,5,6,4,0,1,true
OpElementAsgnNode,69,8,6,1,3,0,0,3,3,3,4,1,1,true
InstructionSequence,39,1,17,1,1,1,1,1,0,0,0,17,0,true
Instruction,52,7,12,1.29,1,0,0,1,0,0,0,12,0,true
Args,108,14,7,1.79,12,4,3,7,1,3,0,7,0,true
SinglyLinkedList,21,4,2,1,0,0,0,0,8,19,3,2,0,true
Slot,19,5,1,0.80,0,0,0,0,1,5,3,0,0,true
MemReg,14,2,4,1,0,0,0,0,0,0,0,4,0,true
LAEntry,4,1,3,0,0,0,0,0,0,0,0,3,0,true
SearchEntry,105,5,11,2.80,13,11,3,3,1,1,0,7,0,true
MState,4,1,5,0,0,0,0,0,0,0,0,5,0,true
CState,4,1,4,0,0,0,0,0,0,0,0,4,0,true
TreeInfo,9,1,6,1,0,0,0,0,0,0,0,6,0,true
ScalarAnalysis,20,1,8,1,0,0,0,0,0,0,0,8,0,true
ProductionEnvironment,44,7,5,1.14,1,1,1,1,1,10,5,0,0,true
TestJavaBean,27,7,3,1,0,0,0,0,1,1,6,0,0,true
JumpException,132,14,5,1,0,0,0,0,18,41,7,0,3,true
InstructionBundle,16,1,8,1,0,0,0,0,0,0,0,8,0,true
RubyInstanceConfig,104,19,8,0.95,2,0,0,2,4,14,15,0,0,true
Frame,229,21,10,1.14,2,0,0,2,11,45,16,0,0,true
SourceRewriteTester,105,9,2,2,20,2,2,10,0,0,0,0,1,false
CallType,20,2,5,1,0,0,0,0,1,1,0,0,0,false
CompiledBlockCallback,3,1,0,0,0,0,0,0,1,1,0,0,0,false
Finalizer,33,4,3,2,3,0,0,3,2,3,0,0,0,false
ConditionalExpr,112,4,3,2,3,2,2,3,0,0,0,0,2,false
TestUnitTestSuite,175,2,4,3.50,1,0,0,1,0,0,0,0,2,false
IConvLibrary,7,2,0,0.50,1,0,0,1,0,0,0,0,0,false
BigDecimalLibrary,5,2,0,0.50,1,0,0,1,0,0,0,0,0,false
DumpingInvocationCallbackFactory,771,34,13,1.65,15,2,2,8,0,0,0,0,1,false
JRubySerializer,9,2,0,1,0,0,0,0,0,0,0,0,1,false
RubyHash,1622,101,35,3.18,74,17,6,24,16,25,3,1,1,false
2,5,1,0,1,2,0,0,1,0,0,0,0,1,false
RubyInputStream,48,3,0,4.33,0,0,0,0,0,0,0,0,3,false
RubySymbol,334,26,8,4.15,34,9,5,12,3,5,1,0,1,false
StringScannerLibrary,10,2,0,0.50,1,0,0,1,0,0,0,0,0,false
YAMLException,9,2,0,1,0,0,0,0,0,0,0,0,3,false
Interface2,3,1,0,0,0,0,0,0,1,1,0,0,0,false
Dir,536,15,15,14.20,11,4,2,3,0,0,0,0,0,false
JavaArray,91,7,0,2.43,11,2,2,4,0,0,0,0,2,false
UstrException,7,1,1,1,0,0,0,0,0,0,0,0,3,false
RubyParserResult,65,11,5,1.27,3,3,3,3,7,9,6,0,0,false
JRubyRepresenter,72,7,0,2.29,4,0,0,4,1,1,0,0,2,false
KCode,66,6,6,2.33,4,2,1,2,4,6,0,0,0,false
Representer,6,4,0,0,0,0,0,0,12,12,0,0,0,false
ReadonlyGlobalVariable,10,2,0,1,1,0,0,1,0,0,0,0,1,false
Service,10,2,0,0.50,8,1,1,7,0,0,0,0,0,false
ComposerImpl,146,8,5,4.25,24,24,15,15,1,2,0,0,0,false
SelfNode,28,4,1,1,2,0,0,2,1,1,1,0,1,false
CommentNode,26,4,2,1,1,0,0,1,0,0,1,1,1,false
MarshalCache,30,7,2,1.14,1,1,1,1,1,1,0,0,0,false
NodeCompiler,3,1,0,0,0,0,0,0,5,27,0,0,0,false
ErrorLogger,5,3,0,0,0,0,0,0,0,0,0,0,0,false
Matcher,2107,62,30,6.74,102,34,5,6,12,41,0,0,0,false
