Name,LOCC,NOM,NOA,AMW,FANOUT,ATFD,FDP,CBO,CC,CM,NOAM,NOPA,DIT,Data Class
Token,29,6,2,1,0,0,0,0,2,5,4,2,0,true
Color,25,6,2,1,0,0,0,0,0,0,4,0,0,true
MethodDefNode,57,6,4,1,1,1,1,1,5,9,4,0,1,true
OpAsgnNode,78,9,7,1,3,0,0,3,4,5,5,1,1,true
GlobArgs,5,1,3,0,0,0,0,0,0,0,0,3,0,true
Entry,13,1,4,1,0,0,0,0,0,0,0,4,0,true
OSEnvironmentReaderFromApacheAnt,90,6,0,1.50,0,0,0,0,0,0,0,0,0,false
1,6,1,0,1,3,1,1,3,0,0,0,0,1,false
IOHandlerSocket,27,2,0,3,4,0,0,1,0,0,0,0,3,false
ModuleNodeCompiler,43,2,0,2.50,6,4,3,4,0,0,0,0,0,false
IOHandlerJavaIO,182,14,1,2.64,8,2,1,1,1,2,0,0,1,false
ReWriteVisitor,1607,177,2,2.21,199,133,74,89,4,9,1,0,0,false
