Name,LOCC,NOM,NOA,AMW,FANOUT,ATFD,FDP,CBO,CC,CM,NOAM,NOPA,DIT,God Class
StandardYARVCompiler,679,42,8,3.02,117,50,27,37,1,1,0,0,0,true
JavaProxyClassFactory,741,25,17,2.56,9,9,2,2,0,0,0,0,0,true
YARVMachine,685,4,2,40,210,11,4,20,3,4,0,0,0,true
ReWriteVisitor,1607,177,2,2.21,199,133,74,89,4,9,1,0,0,true
IOHandlerNio,466,36,7,2.89,18,4,3,8,2,5,3,1,1,true
IOHandlerUnseekable,339,23,2,2.52,19,5,2,7,0,0,3,0,2,true
IntHashMap,356,20,7,2.25,10,3,1,7,7,18,0,2,0,true
Bitset,305,27,7,2.59,15,5,1,3,1,9,1,2,0,true
CharacterClass,790,25,21,6.52,16,16,2,2,0,0,0,0,1,true
Matcher,2107,62,30,6.74,102,34,5,6,12,41,0,0,0,true
ResolverImpl,190,8,4,7.88,8,5,4,5,0,0,0,0,0,true
BaseConstructorImpl,330,22,11,2.36,18,18,14,14,1,2,0,0,0,true
SafeConstructorImpl,490,26,9,3.46,14,14,9,9,0,0,0,0,1,true
ScannerImpl,1520,81,45,4.05,49,6,3,11,1,2,0,0,0,true
EvaluationState,2039,100,0,4.70,451,185,93,122,0,0,0,0,0,true
RubyYAML,474,48,1,1.88,73,5,3,29,0,0,0,0,0,true
RubyGzipReader,226,25,4,2,29,4,1,13,0,0,0,0,2,true
Block,330,24,11,1.83,45,20,9,18,36,122,9,1,0,true
CommentNode,26,4,2,1,1,0,0,1,0,0,1,1,1,false
ISeqPosition,34,8,1,1,1,1,1,1,0,0,4,0,0,false
Room,22,4,1,1.25,0,0,0,0,0,0,0,0,0,false
21,5,1,0,1,1,0,0,1,0,0,0,0,1,false
RubyInteger,182,12,0,2.67,31,2,2,9,0,0,0,0,2,false
AlphaSingleton,14,3,1,1,0,0,0,0,0,0,0,0,0,false
LoadServiceCreator,9,1,1,0,0,0,0,0,1,1,0,0,0,false
RubyArrayConversionListIterator,35,8,0,1.12,7,0,0,4,0,0,0,0,1,false
StringScannerTest,386,25,3,1,29,2,1,2,0,0,0,0,2,false
SerializerImpl,157,8,13,4.62,26,4,3,18,0,0,0,0,0,false
IAstEncoder,4,2,0,0,0,0,0,0,1,2,0,0,0,false
LexerSource,440,24,13,3.33,7,0,0,5,4,17,4,0,0,false
FieldCallback,13,2,2,1,0,0,0,0,0,0,0,2,1,false
JRubyClassLoader,13,3,0,1,0,0,0,0,6,6,0,0,3,false
7,4,1,0,1,1,0,0,1,0,0,0,0,1,false
RegularMask,47,4,1,1.75,3,0,0,3,1,1,0,1,1,false
DXStrNode,20,3,1,1,2,0,0,2,1,1,0,0,2,false
NthRefNode,31,4,2,1,2,0,0,2,5,6,1,0,1,false
