Name,scope name,LOC,CYCLO,MAXNESTING,NOP,NOAV,NOLV,FANOUT,FANIN,ATFD,FDP,CINT,CC,CM,LAA,Brain Method
replace,DefaultChannelPipeline,62,9,5,3,19,10,20,3,6,1,0,0,0,0.40,true
createByteArrayFromIpAddressString,NetUtil,97,19,5,1,13,18,19,1,0,0,0,1,1,1,true
getByName,NetUtil,187,92,5,2,7,15,7,1,0,0,0,0,0,1,true
toAddressString,NetUtil,93,25,5,2,7,10,11,1,0,0,0,0,0,1,true
rebuildSelector,AbstractNioSelector,64,5,3,0,11,9,16,3,0,0,3,1,2,1,true
run,AbstractNioSelector,159,20,7,0,23,15,23,1,0,0,3,0,0,1,true
write0,AbstractNioWorker,141,20,5,1,26,18,25,3,13,1,14,0,0,0.07,true
setInterestOps,AbstractNioWorker,64,10,3,3,15,8,17,4,1,1,4,3,4,0.75,true
write0,NioDatagramWorker,106,15,5,1,24,17,18,1,14,2,14,0,0,0.07,true
JdkSslClientContext,JdkSslClientContext,63,10,3,7,17,9,28,1,0,0,0,0,0,1,true
JdkSslServerContext,JdkSslServerContext,85,11,3,8,26,18,37,1,0,0,2,0,0,1,true
wrap,OpenSslEngine,102,18,5,4,18,11,15,0,0,0,0,0,0,1,true
unwrap,OpenSslEngine,127,26,3,4,20,14,22,0,0,0,2,0,0,1,true
OpenSslServerContext,OpenSslServerContext,152,17,3,8,20,14,22,2,0,0,0,1,1,1,true
service,HttpTunnelingServlet,72,10,4,2,21,12,20,0,0,0,13,0,0,1,true
decode,CookieDecoder,120,22,15,1,32,24,28,15,0,0,10,2,15,1,true
messageReceived,HttpChunkAggregator,83,11,4,2,11,7,26,0,0,0,14,0,0,1,true
decode,HttpMessageDecoder,247,51,5,4,24,20,28,2,0,0,9,0,0,1,true
writeRequested,HttpContentEncoder,86,17,6,2,13,9,31,0,1,1,19,0,0,0.50,true
messageReceived,HttpContentDecoder,82,16,6,2,12,9,28,0,1,1,18,0,0,0.50,true
encode,HttpMessageEncoder,80,11,4,3,15,8,26,2,0,0,14,0,0,1,true
run,AbstractOioWorker,59,8,5,0,8,4,10,1,5,1,3,1,1,0.69,true
run,Boss,62,7,8,0,12,8,19,0,9,3,8,0,0,0.47,true
write,OioWorker,73,12,5,3,14,10,21,2,0,0,10,2,2,1,true
decode,ZlibDecoder,75,13,6,3,11,5,13,0,0,0,11,0,0,1,true
messageReceived,HttpSnoopServerHandler,66,8,3,2,18,13,28,0,0,0,14,0,0,1,true
messageReceived,HttpUploadServerHandler,96,7,3,2,21,13,35,0,1,1,14,0,0,0.95,true
handshake,WebSocketServerHandshaker00,61,10,3,2,27,11,29,0,0,0,12,0,0,1,true
