Name,scope name,LOC,CYCLO,MAXNESTING,NOP,NOAV,NOLV,FANOUT,FANIN,ATFD,FDP,CINT,CC,CM,LAA,Brain Method
isValidIpV6Address,NetUtil,115,34,5,1,7,11,10,2,0,0,0,1,1,1,true
load,NativeLibraryLoader,71,11,4,2,16,15,22,1,0,0,0,0,1,1,true
wrap,SslHandler,158,23,9,2,21,14,36,2,4,1,12,0,0,0.76,true
unwrap,SslHandler,151,32,6,5,18,11,40,2,0,0,11,0,0,1,true
decodeComponent,QueryStringDecoder,64,14,4,2,8,10,7,2,0,0,0,0,0,1,true
extractKeyValuePairs,CookieDecoder,121,23,3,3,11,11,11,1,0,0,0,0,0,1,true
decode,DelimiterBasedFrameDecoder,67,12,4,3,10,7,8,0,0,0,4,0,0,1,true
main,HttpSnoopClient,66,9,3,1,22,11,26,0,0,0,11,0,0,1,true
main,HttpUploadClient,78,11,3,1,24,16,25,0,4,2,5,0,0,0,true
addBodyHttpData,HttpPostRequestEncoder,256,22,4,1,39,19,29,3,0,0,12,0,0,1,true
finalizeRequest,HttpPostRequestEncoder,74,13,3,0,20,10,18,2,0,0,9,1,2,1,true
encodeNextChunkUrlEncoded,HttpPostRequestEncoder,83,15,3,1,8,5,11,1,0,0,4,0,0,1,true
decodeMultipart,HttpPostMultipartRequestDecoder,94,15,5,1,19,9,12,3,0,0,3,0,0,1,true
findMultipartDisposition,HttpPostMultipartRequestDecoder,159,19,10,0,41,28,23,1,0,0,4,0,0,1,true
getFileUpload,HttpPostMultipartRequestDecoder,107,11,4,1,31,20,16,1,0,0,5,0,0,1,true
readDelimiter,HttpPostMultipartRequestDecoder,106,17,11,1,7,9,12,1,0,0,3,0,0,1,true
readFileUploadByteMultipartStandard,HttpPostMultipartRequestDecoder,96,14,6,1,9,9,10,1,0,0,6,0,0,1,true
readFileUploadByteMultipart,HttpPostMultipartRequestDecoder,105,14,6,1,11,12,11,1,1,1,5,0,0,0.86,true
loadFieldMultipartStandard,HttpPostMultipartRequestDecoder,100,14,7,1,9,9,11,1,0,0,6,0,0,1,true
loadFieldMultipart,HttpPostMultipartRequestDecoder,104,14,7,1,11,12,12,1,1,1,5,0,0,0.90,true
parseBodyAttributesStandard,HttpPostStandardRequestDecoder,112,20,8,0,13,10,15,1,0,0,10,0,0,1,true
parseBodyAttributes,HttpPostStandardRequestDecoder,129,20,8,0,14,12,16,1,0,0,9,0,0,1,true
decode,ClientCookieDecoder,98,26,6,1,9,12,9,15,0,0,2,1,15,1,true
decode,ServerCookieDecoder,96,27,6,1,12,12,11,2,0,0,0,1,2,1,true
encode,WebSocket00FrameEncoder,60,7,6,3,13,12,9,0,3,1,9,0,0,0,true
decode,WebSocket08FrameDecoder,236,55,5,4,16,6,29,0,0,0,0,0,0,1,true
encode,WebSocket08FrameEncoder,89,21,7,3,13,13,20,0,2,1,0,0,0,0,true
LocalTime,LocalTime,73,12,5,2,7,8,6,1,0,0,0,0,1,1,true
decode,SpdyFrameDecoder,279,45,5,1,39,26,29,1,0,0,20,1,1,1,true
decodeHeaderBlock,SpdyHeaderBlockRawDecoder,195,40,6,2,10,7,15,2,0,0,10,0,0,1,true
decode,SpdyHttpDecoder,228,24,7,3,38,32,36,0,0,0,16,0,0,1,true
testShutdownWorkerThrowsException,AbstractNioWorkerTest,23,1,2,0,4,5,12,0,0,0,2,0,0,1,false
allocateLittleEndianBuffer,DirectChannelBufferFactory,18,3,2,1,7,1,3,1,0,0,2,0,0,1,false
purgeStaleEntries,ConcurrentIdentityWeakKeyHashMap,5,1,0,0,1,1,1,0,0,0,0,0,0,1,false
ChannelHandlerLifeCycleException,ChannelHandlerLifeCycleException,3,1,0,2,2,0,0,4,0,0,0,1,4,1,false
getFactory,Bootstrap,8,2,1,0,2,1,1,7,0,0,0,2,2,1,false
queueSize,ChannelTrafficShapingHandler,3,1,0,0,0,0,0,0,0,0,0,0,0,1,false
build_bl_tree,Deflate,25,3,2,0,6,1,2,1,1,1,1,0,0,0.83,false
tempFile,AbstractDiskHttpData,21,4,1,0,2,3,9,3,0,0,0,0,0,1,false
eventSunk,HttpTunnelingClientSocketPipelineSink,35,10,4,2,11,5,13,0,0,0,11,0,0,1,false
add,TrailingHeaders,6,2,1,2,2,0,2,0,0,0,0,0,0,1,false
getContentType,DiskFileUpload,3,1,0,0,0,0,0,0,0,0,0,0,0,1,false
getSucceededFuture,AbstractChannel,3,1,0,0,1,0,0,1,0,0,0,1,1,1,false
isFactorial,PortUnificationServerHandler,3,1,0,1,0,0,0,1,0,0,0,0,0,1,false
process,NioClientBoss,7,1,0,1,2,1,5,0,0,0,0,0,0,1,false
testSkipBytes1,AbstractChannelBufferTest,16,1,2,0,2,1,6,0,0,0,3,0,0,1,false
cleanFiles,HttpPostRequestDecoder,3,1,0,0,1,0,1,2,0,0,0,1,2,1,false
BinaryWebSocketFrame,BinaryWebSocketFrame,3,1,0,0,1,0,1,0,0,0,0,0,0,1,false
testMd5,WebSocketUtilTest,13,1,0,0,8,6,7,0,0,0,0,0,0,1,false
bindRequested,SimpleChannelHandler,3,1,0,2,2,0,1,1,0,0,1,0,0,1,false
delete,MixedAttribute,3,1,0,0,1,0,1,0,0,0,0,0,0,1,false
operationComplete,1,3,1,0,1,1,0,1,0,0,0,0,0,0,1,false
QueryStringDecoder,QueryStringDecoder,3,1,0,2,0,0,0,0,0,0,0,0,0,1,false
getEnabledSslProtocols,HttpTunnelingSocketChannelConfig,8,2,1,0,2,1,1,1,0,0,0,1,1,1,false
testSpdyClientSessionHandler,SpdySessionHandlerTest,3,1,0,0,0,0,1,0,0,0,0,0,0,1,false
getContext,DefaultChannelPipeline,21,6,2,1,5,1,5,2,2,1,0,0,0,0.50,false
init,SimpleTrustManagerFactorySpi,3,1,0,1,0,0,0,1,0,0,0,1,1,1,false
cancel,DefaultChannelFuture,21,4,1,0,5,0,2,1,0,0,0,0,0,1,false
getContext,DefaultChannelPipeline,6,2,1,1,2,0,2,1,0,0,0,0,0,1,false
mergeFrom,Builder,31,8,4,1,4,0,7,4,4,1,0,1,1,0.56,false
writeChunk,SpdyHttpEncoder,32,4,3,5,13,8,15,1,0,0,8,0,0,1,false
SslBufferPool,SslBufferPool,3,1,0,2,0,0,0,2,0,0,0,2,2,1,false
