Name,LOCC,NOM,NOA,AMW,FANOUT,ATFD,FDP,CBO,CC,CM,NOAM,NOPA,DIT,Data Class
DownstreamChannelStateEvent,87,6,4,2.67,0,0,0,0,0,0,4,0,0,true
DownstreamMessageEvent,61,6,4,1.83,2,0,0,2,0,0,4,0,0,true
HashEntry,33,5,4,1,0,0,0,0,0,0,1,4,0,true
AbstractNioChannel,258,11,14,1,0,0,0,0,8,21,1,13,1,true
NioClientSocketChannel,53,2,6,2,4,0,0,3,0,0,0,5,2,true
NioServerSocketChannel,68,6,5,1.33,5,0,0,4,1,3,2,3,2,true
Settings,10,1,2,1,0,0,0,0,0,0,1,2,0,true
DefaultLocalChannel,167,12,11,2.50,15,0,0,7,2,4,3,5,1,true
DefaultLocalServerChannel,34,6,3,1.33,2,0,0,2,2,2,2,3,2,true
OioClientSocketChannel,25,3,2,1,1,0,0,1,0,0,2,2,3,true
WebSocketFrame,56,6,3,1,0,0,0,0,8,9,5,0,0,true
Config,16,1,5,1,0,0,0,0,0,0,0,5,0,true
StaticTree,65,1,10,1,0,0,0,0,0,0,0,5,0,true
State,15,1,6,1,0,0,0,0,0,0,0,6,0,true
CookieEncoder,27,2,1,3,3,0,0,1,0,0,0,0,0,false
1,9,1,0,2,5,0,0,2,0,0,0,0,2,false
1,10,1,0,2,7,0,0,5,0,0,0,0,1,false
ProtocolVersion,1,0,0,0,0,0,0,0,0,0,0,0,0,false
HttpChunkAggregator,183,9,7,2.67,27,0,0,14,0,0,1,0,1,false
EncoderEmbedder,26,3,0,1,4,1,1,3,3,4,0,0,1,false
ChannelConfig,80,8,0,0,0,0,0,0,31,38,0,0,0,false
1,10,1,0,2,7,0,0,5,0,0,0,0,1,false
IdleStateAwareChannelUpstreamHandler,19,2,0,1.50,1,0,0,1,0,0,0,0,1,false
ClientBootstrapTest,7,1,0,1,1,0,0,1,0,0,0,0,1,false
CharsetUtil,104,3,8,2.33,0,0,0,0,0,0,0,0,0,false
PemReader,95,6,3,2,4,0,0,4,0,0,0,0,0,false
ConcurrentIdentityWeakKeyHashMap,1426,28,12,2.46,0,0,0,0,0,4,0,6,1,false
RtspHeaders,367,1,0,1,0,0,0,0,0,0,0,0,0,false
