Name,LOCC,NOM,NOA,AMW,FANOUT,ATFD,FDP,CBO,CC,CM,NOAM,NOPA,DIT,Brain Class
URL,661,20,9,4.80,0,0,0,0,0,0,7,0,0,true
JMXAccessorTask,641,42,17,2.74,0,0,0,0,0,0,25,2,2,true
ContextConfig,1292,27,18,6.74,118,17,6,27,1,1,3,0,0,true
AprLifecycleListener,341,13,19,3.46,32,12,3,8,0,0,3,0,0,true
NamingContextListener,1169,28,11,6.29,111,28,11,36,1,1,5,0,0,true
JDBCRealm,769,34,16,1.88,12,0,0,4,1,1,20,0,1,true
StandardSession,1697,63,24,2.75,49,1,1,25,10,26,12,0,0,true
JDBCStore,948,38,23,2.45,21,1,1,7,0,0,16,0,1,true
PersistentManagerBase,1141,41,14,3.17,42,2,1,14,2,2,11,0,1,true
HTMLManagerServlet,1139,23,15,4.48,58,1,1,22,0,0,1,0,3,true
ManagerServlet,1541,35,13,6.80,46,1,1,22,0,0,1,0,2,true
StatusTransformer,923,20,0,5.70,11,0,0,3,0,0,0,0,0,true
MBeanUtils,1862,61,5,3.62,41,10,6,27,0,0,0,1,0,true
ServerLifecycleListener,1339,33,2,5.61,69,6,3,18,0,0,2,0,0,true
ProxyDirContext,1588,69,15,1.93,26,26,5,5,5,15,4,0,0,true
InternalAprInputBuffer,838,18,16,6.67,35,1,1,10,2,10,3,0,1,true
InternalNioInputBuffer,1037,24,27,5.96,43,7,4,12,1,9,5,0,1,true
InternalInputBuffer,794,18,15,5.94,30,1,1,8,2,7,4,0,1,true
ChunkedInputFilter,567,17,15,5.06,26,6,2,8,0,0,3,0,0,true
BaseModelMBean,1038,32,9,3.12,13,0,0,5,1,1,3,0,0,true
URL,686,21,9,4.90,0,0,0,0,1,1,7,0,0,true
JSSESocketFactory,826,25,18,4.32,10,0,0,4,0,0,0,0,1,true
Compiler,539,15,8,4.60,70,17,6,24,19,27,4,0,0,true
JspConfig,510,7,11,12.43,29,8,3,9,3,4,0,0,0,true
Generator,4172,30,19,4.67,87,31,12,24,1,3,0,0,0,true
GenerateVisitor,2554,44,19,7.91,166,156,37,38,1,2,0,0,1,true
TagLibraryInfoImpl,723,16,6,10.50,45,6,5,20,1,1,1,0,1,true
TagFileDirectiveVisitor,433,12,24,5.92,31,9,6,12,1,1,3,0,1,true
DirectiveVisitor,348,8,4,10.62,38,20,5,7,0,0,0,0,1,true
ValidateVisitor,1286,38,18,6.53,116,62,23,41,1,1,0,0,1,true
MbeansDescriptorsDOMSource,266,6,6,3.33,22,1,1,9,0,0,4,5,1,false
JspWriterImpl,546,41,7,2,4,0,0,4,1,2,1,1,2,false
MediaType,103,8,6,2.25,1,1,1,1,2,2,3,0,0,false
ByteChunk,785,57,10,2.70,9,2,1,5,51,141,13,0,0,false
CatalinaShutdownHook,21,2,0,1.50,7,3,3,6,0,0,0,0,1,false
CallParamRule,220,10,5,1.90,10,2,1,3,0,0,0,0,1,false
Resource,12,0,0,0,0,0,0,0,0,0,0,0,0,false
DataSourceLinkFactory,97,3,0,2.33,1,0,0,1,0,0,0,0,1,false
MutableInteger,10,4,1,1,0,0,0,0,4,5,2,0,0,false
JspContext,212,16,0,0.19,0,0,0,0,3,8,0,0,0,false
DefaultClusterRuleSet,114,3,1,1,3,0,0,1,0,0,0,0,1,false
StaticMember,45,6,0,2,2,0,0,1,0,0,0,0,1,false
PersistenceUnit,4,0,0,0,0,0,0,0,0,0,0,0,0,false
HeaderElement,20,2,1,2,1,0,0,1,0,0,0,0,0,false
MbrEntry,33,4,2,1,0,0,0,0,1,2,1,0,0,false
Enumerator,136,8,1,1.25,0,0,0,0,0,0,0,0,0,false
SystemPropertySource,13,1,0,3,2,0,0,2,0,0,0,0,0,false
ByteInputChannel,9,1,0,0,0,0,0,0,1,3,0,0,0,false
Store,109,11,0,0,0,0,0,0,7,12,0,0,0,false
BodyContent,86,7,1,0.57,0,0,0,0,1,1,1,0,2,false
RpcCollectorKey,18,3,1,1.33,0,0,0,0,1,2,0,1,0,false
CallParamRule,220,10,5,1.90,10,2,1,3,0,0,0,0,1,false
StandardWrapperFacade,62,5,2,1.60,1,1,1,1,0,0,0,0,0,false
Constants,120,0,19,0,0,0,0,0,0,0,0,0,0,false
SessionIdElement,15,2,0,1.50,3,0,0,2,0,0,0,0,0,false
AstDotSuffix,19,3,0,1.33,2,0,0,2,1,1,1,0,2,false
DefaultContextMBean,286,11,2,2.36,26,6,4,9,0,0,0,0,1,false
AccessLogElement,5,1,0,0,0,0,0,0,1,1,0,0,0,false
NodeVisitor,3,1,0,0,0,0,0,0,1,1,0,0,0,false
JspC,1570,91,90,2.78,36,4,1,13,0,0,55,0,1,false
