Name,scope name,LOC,CYCLO,MAXNESTING,NOP,NOAV,NOLV,FANOUT,FANIN,ATFD,FDP,CINT,CC,CM,LAA,Brain Method
service,HttpServlet,63,10,7,2,19,7,16,2,0,0,4,0,0,1,true
recycle,Request,77,10,3,0,43,1,16,3,0,0,9,1,3,1,true
setAttribute,Request,93,16,3,2,23,9,23,12,0,0,9,8,12,1,true
doGetSession,Request,72,23,3,1,11,4,20,4,1,1,14,0,0,0.96,true
parseParameters,Request,120,24,6,0,29,14,30,3,5,3,16,0,0,0.83,true
parseLocalesHeader,Request,110,20,4,1,29,28,32,1,0,0,6,0,0,1,true
start,Connector,66,10,3,0,17,5,19,0,1,1,13,0,0,0.97,true
handleNotification,MapperListener,80,22,7,2,16,11,15,0,0,0,3,0,0,1,true
event,CoyoteAdapter,110,25,8,3,26,6,25,1,32,5,23,0,0,0.16,true
execute,AbstractCatalinaTask,124,20,7,4,23,17,36,3,0,0,0,0,0,1,true
decode,Base64,72,9,4,2,20,15,7,2,5,2,7,2,2,0.38,true
validateApplication,ExtensionValidator,72,10,4,2,19,18,19,1,0,0,3,1,1,1,true
validateManifestResources,ExtensionValidator,74,15,5,2,19,13,12,1,0,0,8,0,0,1,true
URL,URL,90,22,4,2,21,11,20,0,0,0,0,0,0,1,true
parse,URL,73,16,5,3,15,5,12,1,0,0,0,0,0,1,true
createProperty,JMXAccessorTask,68,18,6,2,23,21,26,3,0,0,0,0,0,1,true
applicationWebConfig,ContextConfig,95,13,4,0,19,12,35,1,4,3,22,0,0,0.86,true
authenticatorConfig,ContextConfig,107,21,4,0,22,13,24,1,6,2,15,0,0,0.81,true
defaultWebConfig,ContextConfig,95,15,4,0,15,8,26,1,1,1,7,0,0,0.95,true
processContextConfig,ContextConfig,82,11,4,2,15,8,36,1,5,2,19,0,0,0.79,true
fixDocBase,ContextConfig,102,23,5,0,16,14,30,1,3,1,8,0,0,0.70,true
getJarPaths,TldConfig,61,12,6,0,9,9,19,1,0,0,0,0,0,1,true
deployDescriptor,HostConfig,122,21,4,3,23,12,39,2,5,1,18,0,0,0.74,true
deployWAR,HostConfig,147,22,6,3,29,19,49,2,3,1,15,0,0,0.84,true
deployDirectory,HostConfig,77,10,5,3,22,11,32,2,2,1,13,0,0,0.87,true
checkResources,HostConfig,155,30,7,1,39,29,32,2,25,1,11,0,0,0.51,true
createClassLoader,Bootstrap,87,13,3,2,22,15,26,1,0,0,2,0,0,1,true
stopServer,Catalina,60,6,4,1,16,13,31,1,1,1,8,0,0,0.88,true
load,Catalina,90,10,4,0,9,11,30,2,0,0,8,0,0,1,true
initDirs,Embedded,59,13,4,0,8,8,11,4,0,0,2,0,0,1,true
createClassLoader,ClassLoaderFactory,79,24,8,3,28,17,19,1,0,0,2,1,1,1,true
expand,ExpandWar,102,19,4,3,20,17,34,2,0,0,3,1,1,1,true
init,PasswdUserDatabase,60,12,5,0,12,11,12,1,0,0,0,0,0,1,true
main,Tool,113,16,5,1,24,15,21,0,0,0,4,0,0,1,true
end,CallMethodMultiRule,72,14,3,0,15,10,14,0,0,0,3,0,0,1,true
invoke,SingleSignOn,61,16,3,2,10,4,21,0,10,3,15,0,0,0.52,true
authenticate,BasicAuthenticator,89,12,3,3,22,11,34,0,12,8,28,0,0,0.20,true
authenticate,DigestAuthenticator,72,10,3,3,14,5,23,0,1,1,13,0,0,0.86,true
authenticate,FormAuthenticator,187,36,4,3,34,15,46,0,3,3,28,0,0,0.87,true
createObjectName,ValveBase,61,15,5,2,21,16,16,1,1,1,8,1,1,0.80,true
invoke,RequestDumperValve,81,11,3,2,23,18,46,0,8,2,38,0,0,0.20,true
event,CometConnectionManagerValve,71,14,8,3,17,11,10,0,0,0,7,0,0,1,true
invoke,RemoteIpValve,109,16,4,2,29,17,35,0,18,2,0,0,0,0.50,true
init,StandardEngine,71,10,3,0,13,5,19,1,0,0,10,0,0,1,true
logAccess,StandardEngine,65,17,7,4,16,9,11,0,0,0,2,0,0,1,true
getRequestDispatcher,ApplicationContext,101,13,3,1,24,15,31,1,9,4,15,1,1,0.36,true
setAttribute,ApplicationContext,71,12,4,2,14,7,13,7,0,0,0,3,6,1,true
createWrapper,StandardContext,60,6,3,0,23,14,7,0,0,0,2,0,0,1,true
listenerStart,StandardContext,85,18,3,0,19,15,29,1,0,0,0,0,0,1,true
listenerStop,StandardContext,67,11,5,0,14,11,18,1,0,0,6,0,0,1,true
start,StandardContext,347,72,6,0,47,18,84,3,3,2,19,0,0,0.96,true
stop,StandardContext,115,21,3,0,23,6,23,4,0,0,7,0,0,1,true
postWorkDirectory,StandardContext,62,15,3,0,13,11,20,2,1,1,3,0,0,0.80,true
init,StandardContext,73,9,4,0,17,9,26,3,0,0,8,0,0,1,true
internalDoFilter,ApplicationFilterChain,111,12,4,2,36,18,13,2,0,0,9,0,1,1,true
internalDoFilterEvent,ApplicationFilterChain,112,4,3,1,25,16,9,2,0,0,6,0,1,1,true
init,AprLifecycleListener,72,5,3,0,28,9,16,2,11,2,10,0,0,0.21,true
initializeSSL,AprLifecycleListener,89,15,5,0,18,8,16,1,0,0,6,0,0,1,true
lifecycleEvent,JreMemoryLeakPreventionListener,245,16,6,1,44,31,37,0,1,1,6,0,0,0.92,true
lifecycleEvent,NamingContextListener,125,15,4,1,21,9,35,0,4,2,14,0,0,0.93,true
containerEvent,NamingContextListener,127,30,15,1,26,22,27,0,15,1,9,0,0,0.40,true
processGlobalResourcesChange,NamingContextListener,99,36,9,3,17,14,17,1,21,2,2,0,0,0,true
createNamingContext,NamingContextListener,93,14,4,0,29,16,30,1,2,1,16,0,0,0.92,true
addEnvironment,NamingContextListener,79,20,12,1,7,5,27,3,23,1,7,0,0,0.30,true
addService,NamingContextListener,125,16,4,1,35,26,37,3,20,3,27,0,0,0.43,true
invoke,StandardContextValve,100,22,4,2,20,14,29,0,4,2,21,0,0,0.67,true
stop,StandardService,86,10,4,0,24,10,15,1,0,0,8,0,0,1,true
allocate,StandardWrapper,79,13,5,0,14,6,15,2,0,0,6,1,2,1,true
unload,StandardWrapper,120,19,5,0,22,8,25,3,2,1,9,1,2,0.95,true
event,StandardWrapperValve,152,19,5,3,34,23,28,0,13,3,21,0,0,0.48,true
execute,SecurityUtil,65,14,5,4,12,7,15,2,0,0,6,0,0,1,true
authenticate,JAASRealm,82,14,4,2,13,11,17,3,0,0,7,0,0,1,true
getPassword,JDBCRealm,65,6,6,1,9,6,12,2,0,0,3,0,0,1,true
getRoles,JDBCRealm,69,8,6,1,12,7,15,2,0,0,0,0,0,1,true
authenticate,JNDIRealm,90,6,4,2,10,6,9,0,0,0,5,0,0,1,true
authenticate,JNDIRealm,66,16,7,3,16,8,13,1,0,0,4,0,0,1,true
getUserBySearch,JNDIRealm,81,16,4,3,22,10,17,1,0,0,4,0,0,1,true
compareCredentials,JNDIRealm,75,11,5,3,19,13,23,1,2,2,6,0,0,0.71,true
getRoles,JNDIRealm,129,29,6,2,35,24,36,2,3,1,5,0,0,0.90,true
getPrincipal,JNDIRealm,72,4,4,1,8,5,7,0,0,0,3,0,0,1,true
findSecurityConstraints,RealmBase,236,63,6,2,39,33,20,0,1,1,10,0,0,0,true
hasResourcePermission,RealmBase,95,31,6,4,22,10,11,0,7,2,10,0,0,0,true
hasUserDataPermission,RealmBase,73,18,3,3,17,9,20,0,4,3,14,0,0,0,true
login,JAASMemoryLoginModule,69,6,3,0,17,12,16,0,0,0,1,0,0,1,true
doLoad,StandardManager,115,14,6,0,20,20,33,2,0,0,13,1,1,1,true
doUnload,StandardManager,93,11,5,0,15,15,28,2,0,0,9,1,1,1,true
expire,StandardSession,150,22,7,1,35,21,33,5,2,1,0,2,2,0.91,true
setAttribute,StandardSession,114,23,5,3,17,11,23,2,0,0,11,0,0,1,true
load,FileStore,62,9,4,1,12,12,22,0,1,1,10,0,0,0.75,true
load,JDBCStore,80,12,5,1,21,14,28,0,1,1,12,0,0,0.93,true
save,JDBCStore,78,10,4,1,23,11,33,0,0,0,12,0,0,1,true
swapIn,PersistentManagerBase,91,11,7,1,12,6,25,2,0,0,0,0,0,1,true
start,WebappLoader,89,10,3,0,21,9,44,1,16,3,29,0,0,0.60,true
setPermissions,WebappLoader,86,10,6,0,19,20,11,1,0,0,7,0,0,1,true
setRepositories,WebappLoader,169,19,4,0,31,28,33,1,1,1,15,0,0,0.92,true
setClassPath,WebappLoader,72,15,5,0,16,10,16,2,1,1,5,0,0,0.88,true
start,VirtualWebappLoader,78,15,5,0,15,10,25,0,0,0,3,0,0,1,true
modified,WebappClassLoader,88,16,5,0,18,13,15,1,0,0,5,1,1,1,true
findClass,WebappClassLoader,105,26,5,1,19,13,18,1,0,0,6,0,0,1,true
findResources,WebappClassLoader,70,12,5,1,20,12,17,0,0,0,0,0,0,1,true
getResource,WebappClassLoader,64,17,4,1,15,7,9,0,1,1,2,0,0,0.94,true
getResourceAsStream,WebappClassLoader,71,21,3,1,10,5,6,1,0,0,2,0,0,1,true
loadClass,WebappClassLoader,126,30,4,2,17,12,16,1,0,0,4,0,0,1,true
clearReferencesStaticFinal,WebappClassLoader,73,17,8,0,18,15,22,1,4,1,3,0,0,0.64,true
clearReferencesThreads,WebappClassLoader,120,17,5,0,21,14,27,1,0,0,5,0,0,1,true
clearReferencesThreadLocals,WebappClassLoader,64,5,4,0,19,15,10,1,0,0,2,0,0,1,true
checkThreadLocalMapForLeaks,WebappClassLoader,98,22,9,2,21,14,19,1,0,0,8,0,0,1,true
clearReferencesRmiTargets,WebappClassLoader,84,10,4,0,25,22,21,1,0,0,8,0,0,1,true
clearReferencesResourceBundles,WebappClassLoader,74,9,3,0,16,13,20,1,0,0,0,0,0,1,true
findClassInternal,WebappClassLoader,100,16,4,1,20,11,20,1,16,1,1,0,0,0.11,true
findResourceInternal,WebappClassLoader,262,38,10,2,59,39,47,4,8,1,6,1,1,0.79,true
doFilter,CsrfPreventionFilter,61,13,3,3,18,9,16,0,0,0,9,0,0,1,true
deserializeSessions,DeltaManager,59,7,4,1,14,9,23,1,5,2,12,0,0,0.64,true
start,DeltaManager,64,13,6,0,12,6,20,0,0,0,13,0,0,1,true
requestCompleted,DeltaManager,77,16,4,2,15,7,21,2,5,2,14,1,1,0.80,true
messageReceived,DeltaManager,59,15,3,2,17,3,23,2,0,0,7,0,0,1,true
requestCompleted,SimpleTcpReplicationManager,65,8,6,1,15,8,18,0,5,2,10,0,0,0.72,true
messageReceived,SimpleTcpReplicationManager,77,12,4,2,30,19,34,1,1,1,14,0,0,0.90,true
replicate,AbstractReplicatedMap,60,22,4,2,17,7,18,1,0,0,0,0,0,1,true
messageReceived,AbstractReplicatedMap,96,22,6,2,23,10,32,2,19,1,20,0,0,0.46,true
memberDisappeared,AbstractReplicatedMap,62,25,5,1,17,10,30,2,0,0,16,0,0,1,true
messageReceived,FarmWarDeployer,68,13,6,1,12,10,21,0,6,3,9,0,0,0.62,true
doPost,HTMLManagerServlet,112,18,4,2,18,13,40,0,1,1,14,0,0,0.86,true
list,HTMLManagerServlet,240,20,6,3,49,23,37,2,0,0,15,0,0,1,true
doGet,ManagerServlet,75,23,16,2,13,8,26,0,0,0,8,0,0,1,true
deploy,ManagerServlet,81,15,4,5,17,7,21,1,0,0,3,0,0,1,true
deploy,ManagerServlet,100,31,5,5,12,3,26,2,0,0,4,0,0,1,true
sessions,ManagerServlet,88,23,4,3,22,15,16,3,0,0,8,0,0,1,true
undeploy,ManagerServlet,79,14,5,2,14,9,31,5,0,0,5,0,0,1,true
writeConnectorState,StatusTransformer,118,13,5,7,16,10,12,1,0,0,0,1,1,1,true
writeProcessorState,StatusTransformer,177,23,5,4,11,7,9,1,0,0,0,0,0,1,true
add,HostManagerServlet,111,18,5,11,25,14,40,1,4,1,15,0,0,0.71,true
list,HTMLHostManagerServlet,198,11,4,3,40,18,28,1,0,0,8,0,0,1,true
guessLocaleFromSession,SessionUtils,86,24,6,1,16,15,15,1,0,0,2,0,0,1,true
guessUserFromSession,SessionUtils,68,14,3,1,11,9,13,1,0,0,0,1,1,1,true
createObjectName,MBeanUtils,62,13,4,2,18,19,15,3,1,1,7,1,1,0,true
lifecycleEvent,ServerLifecycleListener,78,12,5,1,13,7,17,0,5,2,7,0,0,0.38,true
expandCGIScript,CGIEnvironment,89,13,4,0,17,10,27,1,2,1,7,0,0,0.75,true
run,CGIRunner,185,17,6,0,33,25,57,1,5,1,12,1,1,0.72,true
init,DefaultServlet,60,12,3,0,16,1,11,1,0,0,1,0,0,1,true
serveResource,DefaultServlet,280,55,5,3,41,19,46,2,20,3,20,0,0,0.38,true
parseRange,DefaultServlet,127,13,4,3,20,15,22,1,6,1,8,0,0,0.25,true
renderXml,DefaultServlet,127,15,3,3,32,20,37,1,11,1,4,0,0,0.27,true
renderHtml,DefaultServlet,156,16,3,2,27,18,31,1,10,1,6,0,0,0.29,true
findXsltInputStream,DefaultServlet,65,15,7,1,14,8,15,1,0,0,2,0,0,1,true
serveRequest,InvokerServlet,206,26,6,2,32,20,44,3,9,1,29,0,0,0.68,true
doPropfind,WebdavServlet,242,35,6,2,56,42,50,1,0,0,15,0,0,1,true
doMkcol,WebdavServlet,69,6,3,2,18,10,17,1,0,0,7,0,0,1,true
doLock,WebdavServlet,473,70,6,2,86,58,70,1,42,2,21,0,0,0.31,true
doUnlock,WebdavServlet,70,13,4,2,18,7,16,1,7,1,3,0,0,0.50,true
copyResource,WebdavServlet,155,27,3,2,25,16,30,2,0,0,8,0,0,1,true
copyResource,WebdavServlet,70,8,5,4,13,9,13,2,0,0,0,0,0,1,true
deleteResource,WebdavServlet,64,8,3,4,15,9,12,3,0,0,0,0,0,1,true
deleteCollection,WebdavServlet,68,10,6,4,14,9,14,2,0,0,1,0,0,1,true
parseProperties,WebdavServlet,270,35,15,5,30,11,33,1,18,1,12,0,0,0.05,true
parseLockNullProperties,WebdavServlet,221,23,15,5,27,12,28,1,3,1,5,0,0,0.25,true
parseExpression,ExpressionParseTree,82,20,4,1,21,3,19,1,6,2,4,0,0,0.60,true
