Name,scope name,LOC,CYCLO,MAXNESTING,NOP,NOAV,NOLV,FANOUT,FANIN,ATFD,FDP,CINT,CC,CM,LAA,Brain Method
service,CoyoteAdapter,85,13,6,2,11,4,39,0,14,6,35,0,0,0.18,true
postParseRequest,CoyoteAdapter,167,23,5,4,27,15,58,1,41,5,48,0,0,0.18,true
parsePathParameters,CoyoteAdapter,98,12,5,2,19,16,23,2,10,3,16,0,0,0.58,true
normalize,CoyoteAdapter,101,26,3,1,9,7,7,1,6,2,6,0,0,0,true
readLine,CoyoteReader,67,18,5,0,11,8,10,0,0,0,0,0,0,1,true
execute,DeployTask,73,15,4,0,17,11,18,0,0,0,0,0,0,1,true
createLink,JKStatusUpdateTask,60,12,3,0,13,2,6,1,0,0,0,0,0,1,true
checkParameter,JKStatusUpdateTask,60,20,3,0,13,0,3,1,0,0,0,0,0,1,true
print,DOMWriter,133,26,5,1,23,12,20,2,0,0,0,1,1,1,true
encode,Base64,87,11,3,1,26,18,0,2,0,0,0,2,2,1,true
loadProperties,CatalinaProperties,62,9,3,0,12,13,17,1,0,0,1,0,1,1,true
addResource,WebAnnotationSet,106,28,5,2,9,5,35,1,21,5,21,0,0,0,true
invoke,AuthenticatorBase,146,33,5,2,21,10,27,0,3,2,21,0,0,0.89,true
register,AuthenticatorBase,82,13,3,6,21,6,30,4,6,3,24,0,0,0.60,true
validate,DigestInfo,122,30,4,2,36,17,24,1,3,2,8,1,1,0.91,true
restoreRequest,FormAuthenticator,75,13,3,2,17,12,34,1,12,4,30,0,0,0,true
report,ErrorReportValve,124,16,4,3,15,13,25,1,0,0,13,0,0,1,true
log,JDBCAccessLogValve,70,12,4,3,22,12,22,1,0,0,12,0,0,1,true
invoke,PersistentValve,98,21,6,2,14,11,34,0,4,2,26,0,0,0.64,true
doForward,ApplicationDispatcher,102,10,5,2,25,13,33,2,13,2,0,1,1,0.46,true
invoke,ApplicationDispatcher,162,16,3,3,36,23,30,2,1,1,21,0,0,0.96,true
createFilterChain,ApplicationFilterFactory,128,23,4,3,24,19,20,2,8,4,14,2,2,0,true
throwable,StandardHostValve,72,11,4,3,21,5,23,2,5,3,16,0,0,0.38,true
await,StandardServer,126,14,6,0,22,17,24,0,0,0,4,0,0,1,true
invoke,StandardWrapperValve,246,35,5,2,46,30,42,0,29,3,34,0,0,0.37,true
nextToken,ExpressionTokenizer,84,27,3,0,23,6,3,1,0,0,0,1,1,1,true
process,SSIConditional,72,12,5,5,9,2,5,0,21,2,1,0,0,0,true
doFilter,SSIFilter,82,7,3,3,28,17,34,0,0,0,14,0,0,1,true
getCGIVariable,SSIServletExternalResolver,180,61,16,1,20,16,42,1,3,2,27,0,0,0,true
start,McastService,68,8,3,1,18,11,25,1,6,2,12,0,0,0.81,true
drainChannel,NioReplicationTask,70,16,5,2,16,8,34,1,4,3,17,0,0,0.69,true
getFormat,Cache,61,14,5,1,16,5,3,2,9,1,0,1,1,0.80,true
configure,FileHandler,64,8,3,0,15,12,23,1,0,0,0,0,0,1,true
coerceToNumber,ELSupport,69,15,3,2,8,8,11,1,0,0,0,0,0,1,true
CompositeExpression,ELParser,59,16,4,0,11,3,12,2,0,0,4,1,1,1,true
Equality,ELParser,101,27,3,0,16,6,10,1,0,0,4,0,0,1,true
Compare,ELParser,183,49,3,0,28,12,12,1,0,0,4,0,0,1,true
Math,ELParser,75,21,6,0,14,6,10,1,0,0,4,0,0,1,true
Multiplication,ELParser,129,35,3,0,21,9,11,1,0,0,4,0,0,1,true
Unary,ELParser,111,30,6,0,28,9,12,2,0,0,4,0,0,1,true
jjMoveNfa_0,ELParserTokenManager,180,61,9,2,19,11,6,2,0,0,1,0,0,1,true
jjMoveNfa_1,ELParserTokenManager,337,134,10,2,19,11,8,3,0,0,1,0,0,1,true
getNextToken,ELParserTokenManager,80,18,5,0,14,9,10,5,2,1,6,1,5,0.94,true
prepareRequest,AjpProcessor,241,39,7,0,61,26,52,1,22,5,47,0,0,0.76,true
parseHost,AjpProcessor,70,13,4,1,19,14,15,1,10,4,14,0,0,0.62,true
prepareRequest,Http11Processor,193,36,4,0,46,23,41,1,13,5,30,0,0,0.82,true
prepareResponse,Http11Processor,142,30,3,0,33,13,27,1,8,3,23,0,0,0.79,true
parseChunkHeader,ChunkedInputFilter,66,18,5,0,16,5,5,1,0,0,1,0,0,1,true
parseHeader,ChunkedInputFilter,156,31,5,0,28,12,16,1,7,2,9,0,0,0.82,true
resolveEntity,LocalResolver,78,10,3,4,20,11,14,1,0,0,1,0,0,1,true
end,CallMethodRule,113,21,3,0,20,10,22,1,0,0,7,0,0,1,true
setAttribute,BaseModelMBean,70,10,4,1,13,9,19,3,0,0,4,0,0,1,true
handshake,SecureNioChannel,61,18,5,2,15,1,8,0,0,0,0,0,0,1,true
service,JspServlet,62,6,3,2,15,9,11,0,0,0,8,0,0,1,true
startElement,JspDocumentParser,175,28,5,4,31,10,26,0,2,1,3,0,0,0.94,true
processChars,JspDocumentParser,144,46,6,0,21,11,17,5,2,1,3,0,0,0.96,true
endElement,JspDocumentParser,74,24,5,3,19,8,19,0,5,1,9,0,0,0.77,true
parseStandardAction,JspDocumentParser,320,39,25,7,40,3,34,1,3,3,3,0,0,0.94,true
parseCustomAction,JspDocumentParser,63,6,3,8,18,8,12,1,1,1,5,0,0,0.67,true
parseCustomTag,Parser,94,11,3,1,19,14,25,3,4,2,17,0,0,0.82,true
parseXMLTemplateText,Parser,66,17,6,1,8,4,18,2,0,0,11,0,0,1,true
