Name,LOCC,NOM,NOA,AMW,FANOUT,ATFD,FDP,CBO,CC,CM,NOAM,NOPA,DIT,Data Class
ContainerEvent,81,5,3,1,0,0,0,0,4,4,3,0,1,true
LifecycleEvent,92,5,3,1,0,0,0,0,18,19,3,0,1,true
InstanceEvent,412,15,17,1,0,0,0,0,0,0,7,0,1,true
AbstractCatalinaTask,249,11,5,3,1,1,1,1,0,0,8,0,2,true
InstallTask,84,7,3,1.71,0,0,0,0,0,0,6,0,3,true
JMXAccessorCreateTask,147,10,4,2.10,3,3,1,1,0,0,7,0,3,true
JMXAccessorEqualsCondition,179,22,10,1.23,1,0,0,1,0,0,19,0,1,true
JMXAccessorGetTask,87,5,2,1.80,0,0,0,0,0,0,3,0,3,true
JMXAccessorInvokeTask,114,8,3,1.75,3,3,1,1,0,0,5,0,3,true
UserConfig,296,15,8,1.67,19,2,1,7,1,1,10,0,0,true
DeployedApplication,34,1,4,1,0,0,0,0,0,0,0,4,0,true
FilterDef,138,15,7,1,0,0,0,0,3,12,13,0,0,true
ContextEjb,86,7,3,1.71,0,0,0,0,1,1,6,0,1,true
ContextEnvironment,125,14,6,1.14,0,0,0,0,8,10,12,0,0,true
ContextLocalEjb,83,7,3,1.71,0,0,0,0,0,0,6,0,1,true
ContextResourceLink,53,6,2,1.17,0,0,0,0,4,4,4,0,1,true
ContextService,202,24,6,1.42,0,0,0,0,3,3,16,0,1,true
MessageDestination,110,11,5,1.36,0,0,0,0,1,1,10,0,0,true
MessageDestinationRef,127,14,6,1.21,0,0,0,0,3,4,12,0,0,true
CompletedStuckThread,24,4,3,1,0,0,0,0,1,1,3,0,0,true
User,35,5,4,1.20,0,0,0,0,1,5,4,0,0,true
ResourceEntry,47,1,7,0,0,0,0,0,0,0,0,7,0,true
SingleSignOnMessage,167,24,17,1.04,0,0,0,0,2,7,21,0,0,true
SessionIDMessage,101,13,5,0.92,0,0,0,0,2,2,10,0,1,true
SessionMessageImpl,137,13,7,1.77,0,0,0,0,0,0,7,0,1,true
WarWatcher,203,9,4,1.78,9,2,1,4,1,2,4,1,0,true
CoordinationEvent,72,5,20,4.40,8,3,1,5,0,0,2,7,0,true
MapEntry,15,2,3,1,0,0,0,0,1,1,0,3,0,true
JmxRemoteLifecycleListener,258,10,14,2,7,1,1,5,0,0,6,0,0,true
InvokerHttpRequest,164,10,5,1,0,0,0,0,1,1,9,0,2,true
RxTaskPool,131,12,8,1.83,3,2,1,2,4,4,5,4,0,true
ClassLoaderLogInfo,11,1,4,1,0,0,0,0,0,0,0,4,0,true
Resource,83,7,2,1.14,0,0,0,0,8,19,3,0,0,true
CacheEntry,41,3,8,0.67,0,0,0,0,0,0,0,8,0,true
RequestInfo,217,37,14,1.16,19,6,2,6,17,43,23,6,0,true
TimeStamp,121,18,9,1.11,2,0,0,1,0,0,12,3,0,true
MimeHeaderField,30,4,4,1,1,0,0,1,1,12,2,2,0,true
ValuesEnumerator,37,4,5,1.50,5,0,0,2,0,0,0,5,0,true
BaseNotificationBroadcasterEntry,17,1,3,1,0,0,0,0,0,0,0,3,0,true
SendfileData,15,1,8,0,0,0,0,0,0,0,0,8,0,true
BaseEndpoint,317,36,23,1.08,3,0,0,2,0,0,26,0,0,true
TaskQueue,36,5,2,1.80,1,1,1,1,1,2,1,2,1,true
MbeansDescriptorsDigesterSource,213,7,7,1.29,13,2,1,3,0,0,4,5,1,true
MbeansDescriptorsDOMSource,266,6,6,3.33,22,1,1,9,0,0,4,5,1,true
MbeansDescriptorsSerSource,74,6,6,1.83,3,0,0,2,0,0,4,5,1,true
DefaultFileItemFactory,145,7,3,1,1,0,0,1,1,4,4,0,0,true
CacheNode,12,1,4,1,0,0,0,0,0,0,0,4,0,true
Field,24,2,5,1,2,0,0,2,1,2,0,5,0,true
MultiMapValuesEnumeration,38,4,5,1.50,5,2,1,2,0,0,0,5,0,true
Entry,13,1,4,1,0,0,0,0,0,0,0,4,0,true
JavacErrorDetail,204,10,6,2,3,0,0,2,2,2,5,0,0,true
UseBean,27,5,1,1,1,0,0,1,4,4,2,1,1,true
ParamAction,27,5,1,1,1,0,0,1,4,5,2,1,1,true
PlugIn,37,7,2,1,1,0,0,1,4,4,4,0,1,true
JspElement,43,7,2,1,1,0,0,1,4,4,4,0,1,true
ELExpression,27,5,2,1,1,0,0,1,3,3,3,0,1,true
Function,64,13,7,1,0,0,0,0,6,9,11,0,1,true
AttributeGenerator,23,4,2,1,1,0,0,1,1,1,2,2,1,true
JspPropertyGroup,24,4,3,1,0,0,0,0,1,3,3,0,0,true
ValidAttribute,21,3,3,1,0,0,0,0,0,0,0,3,0,true
IncludeState,21,1,8,1,0,0,0,0,0,0,0,8,0,true
NameEntry,25,4,3,1,0,0,0,0,1,2,3,0,0,true
Entry,45,2,3,1,0,0,0,0,0,0,0,3,0,true
ELContextImpl,75,7,4,1.14,4,0,0,4,3,4,4,0,1,true
WorkerEnv,112,13,12,1.62,6,5,1,1,10,23,8,8,0,true
SocketConnection,140,9,3,3.44,34,16,3,10,2,2,2,3,0,true
AprConnection,18,3,2,1,1,0,0,1,0,0,1,2,0,true
PersistenceUnits,3,0,0,0,0,0,0,0,0,0,0,0,0,false
FileChangeListener,4,2,0,0,0,0,0,0,1,1,0,0,0,false
MembershipListener,16,2,0,0,0,0,0,0,3,3,0,0,0,false
DateAndTimeElement,26,2,0,1,8,7,2,2,0,0,0,0,0,false
ExpressionFactory,17,4,0,0,0,0,0,0,4,4,0,0,0,false
JkMain,682,46,21,2.59,29,29,5,5,1,9,11,16,0,false
Validator,1857,4,0,10.50,18,9,5,12,0,0,0,0,0,false
Constants,18,0,7,0,0,0,0,0,0,0,0,0,0,false
Node,6,1,0,0,0,0,0,0,1,1,0,0,0,false
AstIdentifier,148,10,0,3,21,2,1,10,1,1,0,0,2,false
10,5,1,0,1,1,0,0,1,0,0,0,0,1,false
PollerEvent,65,5,3,2.20,11,6,3,4,0,4,0,0,0,false
HexUtils,92,3,1,6.33,1,0,0,1,0,0,0,0,0,false
JAASRealm,505,23,10,2.39,16,1,1,6,0,0,9,0,1,false
OS,105,8,22,0,0,0,0,0,0,0,0,0,0,false
GetCharacterEncodingPrivilegedAction,7,2,0,0.50,2,1,1,2,0,0,0,0,0,false
1,11,1,1,2,1,1,1,1,0,0,0,0,1,false
ApplicationFilterChain,521,12,13,2.83,21,15,11,13,3,6,2,0,0,false
ScopeManager,270,13,12,1.54,3,0,0,2,1,1,1,0,0,false
ContextErrorHandler,17,3,0,1,1,1,1,1,0,0,0,0,0,false
BufferPoolAPI,9,4,0,0,0,0,0,0,1,4,0,0,0,false
Counter,15,4,1,0.75,0,0,0,0,1,4,0,0,0,false
RpcCollector,51,6,5,1.83,6,0,0,3,1,2,0,5,0,false
Char,24,4,1,1,0,0,0,0,0,0,0,0,1,false
Global,71,6,0,0,0,0,0,0,0,0,0,0,0,false
Util,286,6,4,5.83,8,0,0,4,0,0,0,1,0,false
TldLocationsCache,505,12,12,5.42,20,16,6,7,1,1,0,0,0,false
TagHandlerPool,157,8,6,2.62,10,0,0,7,0,0,0,0,0,false
RequestDispatcher,88,2,0,0,0,0,0,0,6,8,0,0,0,false
MemoryUserDatabaseFactory,61,1,0,7,6,3,1,1,0,0,0,0,0,false
AstPlus,12,2,0,1,1,0,0,1,0,0,0,0,3,false
ServerinfoTask,17,1,0,1,0,0,0,0,0,0,0,0,3,false
RemoteIpValve,425,22,12,2,21,5,2,6,0,0,13,0,1,false
FunctionMapperImpl,156,5,2,1.20,2,2,1,1,1,1,0,0,1,false
GroupMBean,148,5,3,2.20,9,9,4,4,0,0,0,0,1,false
GetCookiesPrivilegedAction,7,2,0,0.50,2,1,1,2,0,0,0,0,0,false
AstNull,15,3,0,1,0,0,0,0,0,0,2,0,2,false
MemoryRoleCreationFactory,29,4,2,1.25,1,0,0,1,0,0,2,0,0,false
Role,43,5,0,0,0,0,0,0,6,7,0,0,0,false
TagExtraInfo,89,6,2,1.17,2,0,0,2,2,7,3,0,0,false
1,11,1,1,2,1,1,1,1,0,0,0,0,1,false
Handler,7,2,0,0,0,0,0,0,4,4,0,0,0,false
PropertyNotWritableException,31,4,0,1,0,0,0,0,0,0,0,0,4,false
JDBCRealm,769,34,16,1.88,12,0,0,4,1,1,20,0,1,false
Base64,234,5,11,4.60,2,0,0,1,0,0,0,0,0,false
SecurityUtil,377,11,17,3.91,9,0,0,6,0,0,0,0,0,false
PermissionCheck,12,1,0,0,0,0,0,0,1,1,0,0,0,false
JspRoot,13,2,0,1,1,0,0,1,0,0,0,0,1,false
LogFactory,303,15,6,1.13,2,0,0,1,0,0,1,1,0,false
Constants,11,0,3,0,0,0,0,0,0,0,0,0,0,false
ErrorHandler,41,4,0,0,0,0,0,0,1,3,0,0,0,false
AstDynamicExpression,25,5,0,1,0,0,0,0,0,0,0,0,2,false
JspServlet,300,10,6,3.20,36,2,1,13,0,0,0,0,2,false
CopyParentClassLoaderRule,40,2,0,1.50,5,1,1,3,0,0,0,0,1,false
NamingService,196,10,4,1.70,1,0,0,1,0,0,3,0,1,false
SetPropertyRule,124,4,2,3,9,3,1,3,0,0,2,0,1,false
LifecycleException,115,7,2,1.43,0,0,0,0,1,1,2,0,2,false
Pipeline,80,6,0,0,0,0,0,0,7,12,0,0,0,false
DecodeException,12,2,1,1,0,0,0,0,0,0,0,0,4,false
ManagedChannel,51,7,0,0,0,0,0,0,0,0,0,0,0,false
DirectJDKLog,148,22,3,1.18,0,0,0,0,0,0,0,1,0,false
DeltaRequest,361,19,17,2.53,31,6,2,8,2,15,1,1,0,false
Http11AprProtocol,689,119,27,1.10,88,64,2,6,2,4,36,2,1,false
ValueExpressionImpl,168,15,5,1.33,8,0,0,5,0,0,2,0,2,false
EvaluationContext,55,11,3,1,0,0,0,0,3,15,3,0,1,false
EmptyNamingEnumImpl,24,5,1,1,0,0,0,0,0,0,0,1,0,false
B2CConverter,181,8,9,2,11,4,3,5,2,3,0,1,0,false
