Name,LOCC,NOM,NOA,AMW,FANOUT,ATFD,FDP,CBO,CC,CM,NOAM,NOPA,DIT,Data Class
Cookie,471,18,11,1.78,0,0,0,0,9,14,14,0,0,true
SessionEvent,81,5,3,1,0,0,0,0,1,1,3,0,1,true
DeployTask,175,13,6,2.08,0,0,0,0,0,0,12,0,3,true
JMXGetTask,70,5,2,1.40,0,0,0,0,0,0,4,0,3,true
JMXSetTask,93,7,3,1.43,0,0,0,0,0,0,6,0,3,true
Arg,22,5,2,1,0,0,0,0,2,2,4,2,0,true
JMXAccessorSetTask,157,12,5,1.75,0,0,0,0,0,0,8,0,3,true
DigestAuthenticator,704,19,11,2.26,22,2,2,11,1,1,10,0,2,true
ApplicationParameter,88,9,4,1.11,0,0,0,0,1,3,8,0,0,true
ContextResource,68,6,2,1.50,0,0,0,0,3,4,4,0,1,true
SecurityRoleRef,57,6,2,1,0,0,0,0,1,1,4,0,0,true
RemoteAddrValve,87,5,2,1,4,2,2,3,0,0,3,0,2,true
RemoteHostValve,87,5,2,1,4,2,2,3,0,0,3,0,2,true
State,45,1,7,1,0,0,0,0,0,0,0,7,0,true
TaskThreadFactory,18,2,3,1.50,2,2,1,1,0,0,0,3,0,true
ClusterMessageBase,42,7,3,1,0,0,0,0,0,0,6,0,0,true
FileMessage,81,15,7,1,0,0,0,0,2,6,13,0,1,true
UndeployMessage,92,16,7,1,0,0,0,0,1,1,14,0,0,true
SendMessageData,57,7,3,1,0,0,0,0,0,0,6,0,0,true
Response,27,6,2,1,0,0,0,0,1,4,4,0,0,true
ThroughputInterceptor,82,5,14,2.20,4,0,0,3,0,0,2,13,1,true
SSIConditionalState,16,0,3,0,0,0,0,0,0,0,0,3,0,true
AbstractRxTask,61,12,6,1,0,0,0,0,3,5,9,0,0,true
ParseException,173,5,5,5,5,5,1,1,0,0,0,3,2,true
Token,122,7,9,1,0,0,0,0,0,0,1,8,0,true
JJCalls,6,1,4,0,0,0,0,0,0,0,0,4,0,true
ErrorData,60,5,4,1,0,0,0,0,0,0,4,0,0,true
FunctionInfo,55,4,3,1,0,0,0,0,5,6,3,0,0,true
VariableInfo,91,5,7,1,0,0,0,0,3,7,4,0,0,true
TagInfo,419,20,16,1.30,4,2,1,1,11,27,13,0,0,true
TagFileInfo,59,4,3,1,0,0,0,0,5,6,3,0,0,true
TagLibraryInfo,271,14,10,1.79,3,3,3,3,9,11,9,0,0,true
TagVariableInfo,91,6,5,1,0,0,0,0,4,9,5,0,0,true
NamingEntry,53,3,7,1.67,0,0,0,0,0,0,0,3,0,true
HeaderParseData,35,1,4,1,0,0,0,0,1,4,0,4,0,true
MappingData,27,2,9,0.50,1,0,0,1,2,2,0,9,0,true
Context,14,1,10,0,0,0,0,0,0,0,0,10,1,true
FeatureInfo,50,6,5,1,0,0,0,0,3,6,6,0,0,true
TaskThreadFactory,18,2,3,1.50,2,2,1,1,0,0,0,3,0,true
Sockaddr,17,0,6,0,0,0,0,0,0,0,0,6,0,true
FileInfo,42,0,17,0,0,0,0,0,0,0,0,17,0,true
Library,204,11,38,1.18,1,0,0,1,0,0,0,36,0,true
MethodInfo,30,4,3,1,0,0,0,0,0,0,3,0,0,true
LongDelegate,36,8,0,1.25,0,0,0,0,0,0,0,0,1,false
ServerCookie,438,30,16,3.17,7,5,1,2,3,6,11,0,0,false
SocketEventProcessor,22,2,2,1.50,3,1,1,2,0,0,0,0,0,false
ELContextListener,5,1,0,0,0,0,0,0,1,1,0,0,0,false
Compiler,539,15,8,4.60,70,17,6,24,19,27,4,0,0,false
JkInputStream,301,12,12,3.83,56,13,4,13,2,3,1,0,0,false
ContextAccessController,105,6,2,2.33,0,0,0,0,0,0,0,0,0,false
3,5,1,0,1,1,0,0,1,0,0,0,0,1,false
PooledMultiSender,30,3,0,2,3,0,0,2,0,0,0,0,2,false
7,5,1,0,1,1,0,0,1,0,0,0,0,1,false
NullResolver,10,2,0,1,3,1,1,2,0,0,0,0,0,false
UniqueId,43,7,1,2.14,3,0,0,1,3,3,1,0,0,false
Contained,24,2,0,0,0,0,0,0,1,2,0,0,0,false
ELArithmetic,355,17,5,2.82,4,0,0,4,0,0,0,0,0,false
SmapStratum,307,8,5,3.62,12,12,1,1,3,6,1,0,0,false
StaticMember,45,6,0,2,2,0,0,1,0,0,0,0,1,false
Http11ConnectionHandler,205,6,5,2.50,57,56,10,11,1,2,0,0,0,false
LazyReplicatedMap,134,6,2,3.17,23,4,1,7,0,0,1,0,1,false
SSIInclude,36,2,0,2,6,1,1,1,1,1,0,0,0,false
SingleSignOn,639,22,8,3.23,42,11,4,13,1,3,4,0,1,false
AbstractReplicatedMap,1491,65,18,3.69,61,8,3,11,3,3,13,0,0,false
Service,109,15,0,0,0,0,0,0,11,27,0,0,0,false
Digester,2870,135,32,1.76,63,63,21,21,54,80,31,0,2,false
WebAnnotationSet,326,6,0,8,35,16,7,12,0,0,0,0,0,false
LoginConfig,133,11,4,1.27,1,0,0,1,9,10,6,0,0,false
VariableMapperImpl,19,3,1,1.33,0,0,0,0,0,0,0,0,1,false
AstLessThanEqual,18,2,0,3,0,0,0,0,0,0,0,0,3,false
VariableMapper,6,2,0,0,0,0,0,0,2,6,0,0,0,false
HostElement,6,2,0,0.50,1,0,0,1,0,0,0,0,0,false
1,17,4,0,1,6,1,1,3,0,0,0,0,2,false
Apr,18,0,1,0,0,0,0,0,0,0,0,0,0,false
SocketInputBuffer,25,2,0,1.50,5,4,2,2,0,0,0,0,0,false
GetRequestDispatcherPrivilegedAction,13,2,1,1,2,1,1,2,0,0,1,0,0,false
JspC,1570,91,90,2.78,36,4,1,13,0,0,55,0,1,false
UniqueId,43,7,1,2.14,3,0,0,1,3,3,1,0,0,false
SystemLogHandler,211,30,3,1.30,4,4,1,1,0,0,1,0,3,false
JspPropertyNotFoundException,8,1,0,1,0,0,0,0,0,0,0,0,5,false
AstLiteralExpression,34,4,0,2.50,0,0,0,0,1,1,2,0,2,false
URL,686,21,9,4.90,0,0,0,0,1,1,7,0,0,false
Queue,75,7,3,1.71,0,0,0,0,0,0,0,0,0,false
WrapperCreateRule,23,3,0,1.67,8,1,1,3,0,0,0,0,1,false
KeyAttachment,96,39,14,1.23,0,0,0,0,9,27,23,0,0,false
SetPropertiesRule,231,7,2,3.71,9,3,1,3,0,0,3,0,1,false
