Name,LOCC,NOM,NOA,AMW,FANOUT,ATFD,FDP,CBO,CC,CM,NOAM,NOPA,DIT,God Class
Request,2807,145,54,2.59,166,37,9,40,66,186,41,0,0,true
Response,1638,80,19,2.60,97,26,5,23,29,83,10,0,0,true
Connector,1358,83,39,1.65,37,3,3,15,17,37,34,1,0,true
CoyoteAdapter,985,16,7,9.19,154,62,12,30,0,0,0,0,0,true
TldConfig,651,23,8,3.26,36,5,4,14,0,0,6,0,0,true
HostConfig,1449,45,16,4.38,58,9,4,15,0,0,10,0,0,true
Catalina,661,25,7,2.52,37,6,3,14,1,1,6,0,2,true
Embedded,894,38,11,3.21,44,4,3,17,0,0,3,0,1,true
SingleSignOn,639,22,8,3.23,42,11,4,13,1,3,4,0,1,true
FormAuthenticator,547,10,3,7.30,114,27,8,24,0,0,3,0,2,true
NamingResources,775,40,12,1.58,13,11,4,6,12,47,4,0,0,true
RemoteIpValve,425,22,12,2,21,5,2,6,0,0,13,0,1,true
StandardEngine,648,28,10,2.61,34,3,1,12,4,4,10,0,1,true
ApplicationContext,910,36,9,3.25,62,17,6,23,4,33,6,0,0,true
StandardContext,5962,292,118,2.37,127,30,16,50,19,49,102,2,1,true
ApplicationDispatcher,931,15,10,7.53,93,16,5,27,2,2,1,0,0,true
StandardService,710,34,18,2.56,24,4,2,12,5,9,8,0,0,true
StandardWrapper,1897,81,36,2.31,72,17,3,23,5,7,11,0,1,true
StandardWrapperValve,523,15,6,4.40,48,7,3,13,1,11,10,0,1,true
JNDIRealm,2096,75,32,3.03,23,5,2,8,0,0,46,0,1,true
RealmBase,1438,54,26,4.04,64,11,5,24,2,7,17,0,0,true
StandardManager,672,22,8,3.18,38,3,1,16,2,2,6,0,1,true
ManagerBase,1575,84,39,2.25,45,4,4,16,6,6,29,0,0,true
WebappLoader,1202,48,22,3.04,71,17,3,15,1,1,11,0,0,true
WebappClassLoader,3384,83,41,5.53,36,8,2,13,4,10,23,1,3,true
ClusterSingleSignOn,403,18,4,2.83,30,8,2,9,1,2,3,0,2,true
DeltaManager,1656,104,47,2.41,90,80,21,21,1,2,46,3,2,true
JvmRouteBinderValve,512,23,9,3.26,60,14,5,18,0,0,8,1,1,true
SimpleTcpReplicationManager,628,35,17,2.43,62,7,2,15,1,2,12,1,2,true
AbstractReplicatedMap,1491,65,18,3.69,61,8,3,11,3,3,13,0,0,true
FarmWarDeployer,701,40,17,2.35,33,4,3,11,0,0,12,1,1,true
ReplicationValve,598,36,17,2.75,40,6,4,12,1,1,17,0,1,true
GroupChannel,618,31,8,2.52,50,16,7,19,2,2,6,0,1,true
TcpFailureDetector,318,26,10,3,34,7,3,9,1,1,10,0,1,true
NonBlockingCoordinator,719,40,14,2.60,64,11,4,16,1,1,1,0,1,true
MBeanFactory,1009,36,3,2.08,94,31,11,29,0,0,0,0,1,true
CGIEnvironment,703,15,11,4.67,42,4,1,8,1,1,4,0,0,true
DefaultServlet,2334,43,21,6.42,83,12,4,22,0,0,0,0,2,true
WebdavServlet,2687,31,25,9.94,87,14,3,20,0,0,0,0,3,true
SSIProcessor,294,10,7,6.40,16,3,2,14,2,2,0,0,0,true
SSIServletExternalResolver,531,21,7,5.57,47,5,3,13,0,0,0,0,0,true
ParallelNioSender,260,13,4,4.38,34,7,3,10,1,1,0,0,1,true
FastQueue,353,21,16,2.71,18,4,1,3,1,4,7,0,0,true
MemoryUserDatabase,591,25,10,1.88,25,25,15,15,5,5,6,0,0,true
ClassLoaderLogManager,658,18,3,3.61,12,5,2,4,4,5,1,0,1,true
ResourceCache,393,19,10,2.84,4,4,1,1,1,4,11,0,0,true
WARDirContext,902,33,3,1.88,20,3,1,8,0,0,1,0,1,true
NamingContext,868,35,6,2.57,13,9,6,6,1,1,1,0,0,true
Request,466,58,34,1.22,19,4,2,9,32,145,28,0,0,true
AjpAprProcessor,1332,24,32,5.75,158,32,8,24,3,6,10,0,0,true
AjpProtocol,451,48,17,1.23,40,36,4,5,1,4,15,0,1,true
Http11AprProcessor,1829,52,39,5.10,206,46,11,38,1,5,21,0,0,true
Http11NioProcessor,1826,52,40,5.37,196,51,12,34,0,7,21,0,0,true
InternalNioOutputBuffer,789,34,17,2.53,53,18,7,16,1,9,6,2,0,true
Http11NioProtocol,848,122,28,1.12,84,81,6,7,1,3,26,2,1,true
Http11Protocol,682,99,32,1.15,45,20,1,7,1,4,41,0,1,true
Digester,2870,135,32,1.76,63,63,21,21,54,80,31,0,2,true
CallMethodRule,563,20,7,2.80,15,15,3,3,0,0,2,0,1,true
StringCache,641,20,14,4.30,24,15,4,5,0,0,10,0,0,true
Cookies,620,20,13,5.50,24,9,3,6,10,11,0,4,0,true
ServerCookie,438,30,16,3.17,7,5,1,2,3,6,11,0,0,true
Parameters,506,23,20,4.09,28,6,2,7,5,12,5,7,0,true
IntrospectionUtils,995,37,5,5.92,5,5,3,3,0,0,0,3,0,true
Mapper,1316,42,4,5.19,53,34,8,10,4,12,3,0,0,true
Registry,962,44,10,3.07,14,4,1,3,43,133,1,0,0,true
ManagedBean,580,26,13,2.19,16,7,3,5,13,72,13,1,0,true
AprEndpoint,2271,106,62,2.04,95,7,5,22,12,125,77,0,1,true
JIoEndpoint,848,48,29,1.85,11,11,3,3,3,55,27,0,1,true
NioEndpoint,2403,119,66,1.82,44,20,4,13,3,82,67,2,1,true
PoolTcpEndpoint,633,52,28,1.98,34,10,2,8,2,4,20,4,0,true
MbeansDescriptorsIntrospectionSource,378,11,10,5.82,21,9,4,7,0,0,4,6,1,true
JspServletWrapper,484,19,16,3.32,38,8,3,18,5,7,5,0,0,true
CustomTag,421,46,26,1.43,14,4,3,7,16,37,25,0,1,true
ParserController,597,16,13,5,29,6,4,13,5,9,2,0,0,true
JspUtil,1152,49,10,4.49,14,3,1,7,0,0,0,0,0,true
SecondPassVisitor,477,42,6,1.98,18,11,4,8,0,0,0,0,1,true
TldLocationsCache,505,12,12,5.42,20,16,6,7,1,1,0,0,0,true
JspCompilationContext,694,53,31,2.21,34,8,3,13,24,63,18,1,0,true
JspC,1570,91,90,2.78,36,4,1,13,0,0,55,0,1,true
PageContextImpl,837,47,16,2.40,54,4,4,29,0,12,7,0,2,true
MsgContext,367,35,23,1.94,50,11,4,13,13,56,26,0,0,true
ChannelNioSocket,1134,61,28,2.16,50,17,4,13,3,4,23,12,1,true
ChannelSocket,843,62,27,2.44,54,21,4,12,2,3,23,12,1,true
ChannelUn,318,17,17,3.29,31,9,3,12,2,2,3,12,2,true
HandlerRequest,653,23,15,4.78,134,32,9,20,0,0,11,1,1,true
JkMain,682,46,21,2.59,29,29,5,5,1,9,11,16,0,true
PersistentManagerBase,1141,41,14,3.17,42,2,1,14,2,2,11,0,1,false
LockRecord,21,5,2,0.80,0,0,0,0,2,3,1,0,0,false
GenericParser,49,1,3,2,1,1,1,1,0,0,0,0,0,false
DirContextURLConnection,375,14,7,4,9,2,1,6,0,0,2,0,1,false
10,29,4,0,1.75,8,1,1,4,0,0,0,0,2,false
PersistenceUnit,4,0,0,0,0,0,0,0,0,0,0,0,0,false
TaskThreadFactory,18,2,3,1.50,2,2,1,1,0,0,0,3,0,false
DefaultServerSocketFactory,34,6,0,1,0,0,0,0,0,0,0,0,1,false
ApacheConfig,457,24,14,2.75,12,1,1,5,0,0,5,2,1,false
BaseAttributeFilter,122,6,1,1.83,0,0,0,0,1,1,0,0,0,false
MemoryUserCreationFactory,75,4,2,4,7,0,0,2,0,0,2,0,0,false
BIOCallback,31,4,0,0,0,0,0,0,0,0,0,0,0,false
DoBodyAction,17,3,0,1,1,0,0,1,0,0,0,0,1,false
IncludeAction,27,5,1,1,1,0,0,1,4,4,2,0,1,false
DefaultFileItem,553,20,9,1.95,5,1,1,2,0,0,5,0,0,false
1,10,1,1,2,0,0,0,0,0,0,0,0,1,false
Valve,104,6,0,0,0,0,0,0,4,12,0,0,0,false
JkMX,351,30,14,2.33,6,0,0,1,0,0,21,3,1,false
UniqueId,43,7,1,2.14,3,0,0,1,3,3,1,0,0,false
7,5,1,0,1,1,0,0,1,0,0,0,0,1,false
ByteSentElement,20,2,1,2,1,0,0,1,0,0,0,0,0,false
PersistentManagerBase,1141,41,14,3.17,42,2,1,14,2,2,11,0,1,false
PrivilegedDoLoad,11,2,0,1,1,0,0,1,0,0,0,0,0,false
PrivilegedGetPageContext,29,2,8,1,1,0,0,1,0,0,0,0,0,false
StandardServer,820,37,23,2.14,24,2,2,11,6,10,10,0,0,false
IntermediateInputStream,27,5,1,1,2,0,0,1,1,1,1,1,1,false
DefaultClusterRuleSet,114,3,1,1,3,0,0,1,0,0,0,0,1,false
UCSReader,270,10,9,3.40,2,0,0,1,0,0,0,0,1,false
SocketStatus,1,0,0,0,0,0,0,0,0,0,0,0,0,false
OS,105,8,22,0,0,0,0,0,0,0,0,0,0,false
Wrapper,288,32,0,0,0,0,0,0,10,14,0,0,0,false
V,1,0,0,0,0,0,0,0,0,0,0,0,0,false
ValidateVisitor,1286,38,18,6.53,116,62,23,41,1,1,0,0,1,false
EventSubType,1,0,0,0,0,0,0,0,0,0,0,0,0,false
LoginConfig,133,11,4,1.27,1,0,0,1,9,10,6,0,0,false
ServletInputStream,58,2,0,3.50,0,0,0,0,0,0,0,0,1,false
HttpJspPage,23,1,0,0,0,0,0,0,0,0,0,0,0,false
CoyoteInputStream,199,9,1,1.56,5,0,0,2,1,1,0,0,2,false
Channel,277,15,11,0,0,0,0,0,5,26,0,0,0,false
FallBackAction,16,3,0,1,1,0,0,1,0,0,0,0,1,false
RegistryMBean,101,7,0,0,0,0,0,0,0,0,0,0,0,false
