Name,LOCC,NOM,NOA,AMW,FANOUT,ATFD,FDP,CBO,CC,CM,NOAM,NOPA,DIT,God Class
WebAnnotationSet,326,6,0,8,35,16,7,12,0,0,0,0,0,true
AuthenticatorBase,854,30,20,3.30,59,9,4,16,0,0,15,0,1,true
ApplicationFilterFactory,367,7,11,12.29,36,10,4,9,2,2,0,0,0,true
McastService,541,57,12,1.58,28,8,2,6,0,0,7,0,0,true
ELParser,2195,115,22,4.99,65,10,4,40,1,1,0,4,0,true
AjpProcessor,1266,25,34,5.04,147,31,7,19,0,6,12,0,0,true
Http11Processor,1700,50,39,4.88,176,35,9,31,0,4,22,0,0,true
UDecoder,290,12,4,6.25,19,10,3,4,2,2,0,0,0,true
ELParser,553,18,9,4.67,12,12,9,9,0,0,1,0,0,true
JspDocumentParser,1491,33,21,6.39,101,24,11,53,0,0,1,0,2,true
JspReader,606,29,9,3.45,17,5,1,5,3,50,2,0,0,true
XMLEncodingDetector,1595,24,29,10.96,37,4,1,11,0,0,0,0,0,true
JspAttribute,218,19,10,1.89,7,4,2,3,5,24,7,0,0,false
AbsoluteOrder,72,2,1,2,0,0,0,0,0,0,0,0,0,false
ELContextListener,5,1,0,0,0,0,0,0,1,1,0,0,0,false
1,5,1,0,1,1,1,1,1,0,0,0,0,2,false
ReadConvertor,37,4,0,1.25,0,0,0,0,1,2,0,0,2,false
BaseAttributeFilter,122,6,1,1.83,0,0,0,0,1,1,0,0,0,false
FileInfo,42,0,17,0,0,0,0,0,0,0,0,17,0,false
Catch,49,1,0,3,5,0,0,1,0,0,0,0,0,false
MasterSlaveWorkerThread,125,6,9,1.67,5,1,1,3,1,2,0,0,0,false
JavacErrorDetail,204,10,6,2,3,0,0,2,2,2,5,0,0,false
AttributeGenerator,23,4,2,1,1,0,0,1,1,1,2,2,1,false
X509UsernameRetriever,10,1,0,0,0,0,0,0,1,1,0,0,0,false
